Reference ,Value,Package,PosX,PosY,Rot,Side
C1,100nF,C_0805_2012Metric,117.525,-94.3,-90,top
C2,10uF,C_0805_2012Metric,114.38,-83.57,180,top
C3,100nF,C_0805_2012Metric,114.38,-81.32,180,top
C4,10uF,C_0805_2012Metric,107.6525,-86.07,180,top
C5,100nF,C_0805_2012Metric,107.6025,-83.82,180,top
C6,0.1uF,C_0805_2012Metric,114.92,-74.51,-90,top
C7,10nF,C_0805_2012Metric,113.84,-69.075,-90,top
C8,2.2uF,C_0805_2012Metric,117.23,-74.52,-90,top
C9,22uF,C_0805_2012Metric,122.175,-56.15,180,top
C10,0.1uF,C_0805_2012Metric,122.25,-58.5,180,top
C11,100nF,C_0805_2012Metric,138.44,-84.08,90,top
C12,1uF,C_0805_2012Metric,133.925,-58.2,0,top
C13,22pF,C_0805_2012Metric,176.86,-49.13,180,top
C14,22pF,C_0805_2012Metric,169.175,-48.75,90,top
C15,2.2uF,C_0805_2012Metric,171.8,-48.7,90,top
C16,22pF,C_0805_2012Metric,166.05,-54.9,-90,top
C17,22pF,C_0805_2012Metric,170.79,-66.16,180,top
C18,22pF,C_0805_2012Metric,175.15,-65.92,0,top
C19,10uF,C_0805_2012Metric,168.05,-103.85,0,top
C20,100nF,C_0805_2012Metric,168.075,-101.45,0,top
C21,10uF,C_0805_2012Metric,157.35,-100.375,-90,top
C22,100nF,C_0805_2012Metric,154.475,-100.35,90,top
C23,0.1uF,C_0805_2012Metric,121.475,-52.025,0,top
C24,10uF,C_0805_2012Metric,151.04,-48.88,180,top
C25,0.1uF,C_0805_2012Metric,163.75,-63.7,180,top
C26,100nF,C_0805_2012Metric,150.98,-52.13,180,top
C28,10uF,C_0805_2012Metric,151.72,-59.3975,-90,top
C30,100nF,C_0805_2012Metric,154.115,-59.43,-90,top
C31,22uF,C_0805_2012Metric,146.85,-82.575,-90,top
,0.1uF,C_0805_2012Metric,143.8,-82.525,-90,top
D1,LED,LED_0805_2012Metric,107.7125,-92.825,180,top
D2,LED,LED_0805_2012Metric,115.35,-107.65,-90,top
D3,LED,LED_0805_2012Metric,133.8,-47.775,0,top
D4,LED,LED_0805_2012Metric,137.7125,-50.875,180,top
D5,D,D_0805_2012Metric,107.6875,-88.4,0,top
D6,LED,LED_0805_2012Metric,161.1,-59.45,-90,top
D7,D,D_0805_2012Metric,156.45,-59.425,90,top
IC1,MPXV5100DP,MPXV5100DP,146.9,-108.6,0,top
IC2,MPXV5100DP,MPXV5100DP,172.7915,-83.725,90,top
J1,USB_B_Micro,USB_Micro-B_GCT_USB3076-30-A,106.33,-77.75,-90,top
J2,Micro_SD_Card,microSD_HC_Hirose_DM3BT-DSF-PEJS,126.8,-94.85,0,top
J3,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,136.5,-42,180,top
J4,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,123.5,-42,180,top
J5,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,149.5,-42,180,top
J6,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,162.5,-42,180,top
J7,USB_B_Micro,USB_Micro-B_GCT_USB3076-30-A,180.9,-70.825,90,top
J8,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,177.075,-102.065,90,top
J9,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,161.135,-109.35,0,top
J10,U.FL-R-SMT-1_10_,RYLR993 Antenna connector,106.95,-48.575,0,top
J11,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,110.2,-97.41,-90,top
L1,1.8nH,L_0805_2012Metric,179.8675,-64.57,180,top
L2,47nH,L_0805_2012Metric,170.7175,-63.84,180,top
L3,47nH,L_0805_2012Metric,175.31,-63.83,0,top
R1,22,R_0805_2012Metric,130.4,-84.05,-90,top
R2,220,R_0805_2012Metric,107.6875,-90.6,180,top
R3,10k,R_0805_2012Metric,137.9125,-58.225,180,top
R4,4.7k,R_0805_2012Metric,132.49,-84.08,90,top
R5,4.7k,R_0805_2012Metric,135.4675,-81.49,0,top
R6,0,R_0805_2012Metric,181.1375,-49.125,180,top
R7,220,R_0805_2012Metric,117.8,-110.2,-90,top
R8,220,R_0805_2012Metric,137.7825,-47.775,0,top
R9,10k,R_0805_2012Metric,111.65,-69.86,90,top
R10,220,R_0805_2012Metric,133.675,-50.85,180,top
R12,220,R_0805_2012Metric,158.725,-59.425,-90,top
SW1,SW_Push,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,136.4,-54.85,180,top
SW2,SW_Push,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,163.8,-67.075,180,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,114.09,-88.4525,180,top
U2,IIM-42653,IIM-42652_TDK,116.839999,-70.5343,-90,top
U3,D3V3XA4B10LP,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,111.8725,-78.17,0,top
U4,LPS22HHTR,LPS22HHTR_3,135.270063,-84.1726,-90,top
U5,ESP32-S3-WROOM-1U-N16R8,ESP32-S3-WROOM-1U,130.5,-69.75,0,top
U6,M20050-1,M20050 GPS,175.94,-56.64,-90,top
U7,IRLR7843TRPBF,IRLR7843TRPBF,127.825,-52.6134,0,top
U8,AMS1117-5.0,SOT-223-3_TabPin2,162.4,-99.8,90,top
U9,RYLR993,RYLR993,112.39,-58.87,0,top
U10,IRLR7843TRPBF,IRLR7843TRPBF,144.936,-52.4384,0,top
U12,AMS1117-3.3,SOT-223-3_TabPin2,157.1175,-52.835,-90,top
U13,D3V3XA4B10LP,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,176.8375,-70.425,180,top
U15,ESP32-S3-MINI-1U,ESP32-S2-MINI-1U,150.72,-71.55,90,top
